PPU;Fecha;a14;a15;a16;a17;a18;𝑰𝑪𝑨𝑻𝒆𝒓𝒎𝒊𝒏𝒂𝒍;Terminal ;Tipo bus;Marca
SJPC30;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;A2;VOLVO
FLXS43;03-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
SHXG30;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SPZX51;04-06-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
LDJW39;04-06-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPC56;04-06-2024;0;1;1;1;0; 3,00 ;SANTA MARGARITA;C2;VOLVO
LDJW31;04-06-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;MERCEDES BENZ
SKHG82;04-06-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
LXDJ17;04-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SHCY18;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPC67;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPC49;04-06-2024;0;1;1;1;0; 3,00 ;EL RETIRO;C2;VOLVO
SJPD93;04-06-2024;0;1;1;1;0; 3,00 ;EL RETIRO;C2;VOLVO
SJPD90;04-06-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SHXF24;04-06-2024;0;1;1;1;0; 3,00 ;SANTA MARGARITA;C2;VOLVO
SJPD92;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
LXDJ26;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SHXF27;04-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SKHG62;06-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
LFGW33;06-06-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
SKHG20;06-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SJPF86;06-06-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;VOLVO
SKHG92;06-06-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
LFGJ90;06-06-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
SKHG74;06-06-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
LDJW40;10-06-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPC41;10-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
LXDJ31;10-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SJPF87;10-06-2024;0;1;1;1;0; 3,00 ;EL RETIRO;C2;VOLVO
SHXC20;10-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXF28;10-06-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXD78;10-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SHCY32;11-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
LDJW47;11-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LXDJ29;11-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LDJW42;11-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW46;11-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPC66;11-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
LDJW44;11-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
STHJ86;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
STHB29;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
SHCY37;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
STHP12;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
LXDJ24;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;B2;SCANIA
SHCY35;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
FLXS51;12-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;BPAL;MERCEDES BENZ
LXDJ18;13-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LDJP67;13-06-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
LXDJ27;13-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SHCX53;13-06-2024;1;1;1;1;1; 5,00 ;CONDELL;A2;VOLVO
SJTD55;13-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
FLXS57;17-06-2024;0;1;1;1;1; 4,00 ;STA MARTA;BPAL;MERCEDES BENZ
FLXS54;17-06-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
SHCX54;17-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
FLXS50;17-06-2024;0;1;1;1;0; 3,00 ;STA MARTA;BPAL;MERCEDES BENZ
SHCY51;17-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
FLXP84;17-06-2024;1;1;1;1;0; 4,00 ;STA MARTA;BPAL;MERCEDES BENZ
LXDH91;17-06-2024;0;1;1;1;0; 3,00 ;STA MARTA;B2;SCANIA
SJPC68;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPD89;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
LDJW35;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPD91;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
LDJW36;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW37;17-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SHCY17;17-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SKHG73;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHG80;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
STHF42;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
STHF49;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
LDJW29;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
SJTD63;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SPZX42;19-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
LXDJ28;21-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SJPC38;21-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SJPD99;21-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SJPF88;21-06-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
SJPC44;21-06-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SPZX46;21-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
STHD21;21-06-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SJPC36;24-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPD95;24-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SHXF25;24-06-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
SHXG34;24-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPC48;24-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPC45;24-06-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPC50;24-06-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
SJPD90;01-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SJPD92;01-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPD99;01-07-2024;0;1;1;1;0; 3,00 ;SANTA MARGARITA;C2;VOLVO
SJPC48;01-07-2024;0;1;1;1;0; 3,00 ;EL RETIRO;C2;VOLVO
LXDJ29;01-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SHCY55;01-07-2024;0;1;1;1;0; 3,00 ;EL RETIRO;A2;VOLVO
SHXG32;01-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
LXDJ20;02-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;B2;SCANIA
STHC54;02-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
LXDJ13;02-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
STHR72;02-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHL27;02-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
SHXF23;02-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;A2;VOLVO
STHK10;02-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STGZ85;02-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
SHXF26;03-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPC38;03-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXG17;03-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SHCY17;03-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXF30;03-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
LXDJ18;03-07-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LXDJ17;03-07-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LDJW42;03-07-2024;0;1;1;1;0; 3,00 ;EL RETIRO;B2;MERCEDES BENZ
LXDH88;03-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
LDJW43;04-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW41;04-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPD73;04-07-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
LDJV49;04-07-2024;1;1;1;1;1; 5,00 ;CONDELL;B2;MERCEDES BENZ
LDSX96;04-07-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;MERCEDES BENZ
LDSW88;04-07-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;MERCEDES BENZ
LDJV50;04-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LDJW38;09-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
SJPC36;09-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SHCY49;09-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;A2;VOLVO
SJPF87;09-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
LDJW30;09-07-2024;1;1;1;1;1; 5,00 ;EL RETIRO;B2;MERCEDES BENZ
LXDJ26;09-07-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SJPC50;09-07-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
SHXC20;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SJPC67;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXF24;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
LXDJ30;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
SJPC66;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXD78;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXG30;09-07-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;C2;VOLVO
LXDJ10;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDH86;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDJ24;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
LXDJ15;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;B2;SCANIA
STHR36;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
FLXP87;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
STHJ68;10-07-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
SKHG90;11-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SPZX36;11-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
STHD47;11-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SKHG82;11-07-2024;0;1;1;1;0; 3,00 ;CONDELL;BE;FOTON
LFGJ95;11-07-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
SHCY35;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
SHCY36;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
STHR60;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
LXDH92;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;B2;SCANIA
SHCY37;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;A2;VOLVO
STHL95;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
STHJ72;19-07-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
LFGJ92;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;C2;MERCEDES BENZ
STHD54;19-07-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHG47;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SKHG33;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SKHG14;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SKHG85;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SKHF87;19-07-2024;1;1;1;1;0; 4,00 ;CONDELL;BE;FOTON
SJPD96;19-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
SHCY34;19-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;A2;VOLVO
SJPC52;19-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
LXDJ23;19-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;SCANIA
SJPC49;19-07-2024;1;1;1;1;0; 4,00 ;EL RETIRO;C2;VOLVO
