;;;;SEM 44;;;SEM 45;;;;;;;SEM 46;;;;;;;SEM 47;;;;;;;SEM 48;;;;;;;SEM 49;;;;;;;SEM 50;;;;;;;SEM 51;;;;;;;SEM 52;;;;;;;;
Nov.;INTERNO;INTERNO;TERMINAL;01-nov;02-nov;03-nov;04-nov;05-nov;06-nov;07-nov;08-nov;09-nov;10-nov;11-nov;12-nov;13-nov;14-nov;15-nov;16-nov;17-nov;18-nov;19-nov;20-nov;21-nov;22-nov;23-nov;24-nov;25-nov;26-nov;27-nov;28-nov;29-nov;30-nov;1-Dec;2-Dec;3-Dec;4-Dec;5-Dec;6-Dec;7-Dec;8-Dec;9-Dec;10-Dec;11-Dec;12-Dec;13-Dec;14-Dec;15-Dec;16-Dec;17-Dec;18-Dec;19-Dec;20-Dec;21-Dec;22-Dec;23-Dec;24-Dec;25-Dec;26-Dec;27-Dec;28-Dec;29-Dec;30-Dec;31-Dec
0;4048;SJPC45;EL RETIRO;;;;BARRIDO;;;;;;;;BARRIDO;;BARRIDO;;;;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4049;SJPC48;EL RETIRO;;;;;;BARRIDO;;BARRIDO;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4050;SJPC49;EL RETIRO;;;;BARRIDO;;;;;;BARRIDO/MOPA;;;BARRIDO;BARRIDO/MOPA;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4052;SJPC52;EL RETIRO;FULL;;;;;BARRIDO;;BARRIDO;;;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO;BARRIDO;;BARRIDO/MOPA;BARRIDO;BARRIDO;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4057;SJPD89;EL RETIRO;;;;;BARRIDO;;;BARRIDO;;;;FULL;;BARRIDO/MOPA;BARRIDO;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4058;SJPD90;EL RETIRO;FULL;;;;;BARRIDO;;BARRIDO;;;;;BARRIDO;BARRIDO;;;;BARRIDO/MOPA;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4059;SJPD91;EL RETIRO;;;;BARRIDO;;;;BARRIDO;;;BARRIDO/MOPA;;BARRIDO;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4061;SJPD93;EL RETIRO;;;;;;;;BARRIDO;;;BARRIDO/MOPA;BARRIDO;;BARRIDO;BARRIDO;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4063;SJPD95;EL RETIRO;FULL;;;BARRIDO;BARRIDO;BARRIDO;;;;BARRIDO/MOPA;;;;BARRIDO;BARRIDO;;BARRIDO;BARRIDO;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4064;SJPD96;EL RETIRO;;;;BARRIDO;BARRIDO;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4067;SJPC68;EL RETIRO;;;;BARRIDO;;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4069;SJPF87;EL RETIRO;FULL;;;BARRIDO;;;;;;;;BARRIDO;BARRIDO;BARRIDO;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1000;SHCX53;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1001;SHCY10;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1018;SHXF83;CONDELL;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1019;SHXG99;CONDELL;;;;;;;FULL;;;;;;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1020;SHCY62;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1021;SHCY45;CONDELL;;;;;;;;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1022;SHCY44;CONDELL;;;;;;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1023;SHCY43;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1028;SHXD83;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1029;SHCY38;CONDELL;;;;;;;;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2042;LXDH84;CONDELL;;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2043;LXDH85;CONDELL;;;;;;;;;;;;EXTERNO/EXPRESS;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2056;LXDH98;CONDELL;;;;;;;;;;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2080;LDJP67;CONDELL;;;;;;;;;;;;;FULL;FULL;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2081;LDJP70;CONDELL;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2082;LDJP71;CONDELL;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2083;LDJP72;CONDELL;;;;;;;;;;BARRIDO/MOPA;;FULL;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2084;LDJP73;CONDELL;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2085;LDJV43;CONDELL;;;;;;;;;;;;;FULL;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2086;LDJV44;CONDELL;;;;;;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2087;LDJV45;CONDELL;;;;;;FULL;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2088;LDJV46;CONDELL;;;;;;;;;;;;;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2089;LDJV48;CONDELL;;;;;;;;BARRIDO/MOPA;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2090;LDJV49;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2092;LDJV51;CONDELL;;;;;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2093;LDJV52;CONDELL;;;;;;;;;;;FULL;EXTERNO/EXPRESS;;;;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2094;LDJW29;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2111;LDJW48;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3000;SJTD55;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3001;SJTD56;CONDELL;;;;;;;FULL;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3002;SJTD57;CONDELL;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3003;SJTD58;CONDELL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3004;SJTD61;CONDELL;FULL;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3005;SJTD62;CONDELL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3006;SJTD63;CONDELL;;;;;;;;;;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3007;SJTD64;CONDELL;;;;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3008;SJTD65;CONDELL;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3009;SJTD66;CONDELL;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;FULL;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3010;SKHF49;CONDELL;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3011;SKHF84;CONDELL;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3012;SKHF87;CONDELL;;;;;;;;;;;BARRIDO/MOPA;;;FULL;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3013;SKHF91;CONDELL;;;;;;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3014;SKHF92;CONDELL;FULL;;;;;;;;;;;;BARRIDO;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3015;SKHG14;CONDELL;;;;;;FULL;BARRIDO/MOPA;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3016;SKHG17;CONDELL;;;;;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3017;SKHG20;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3018;SKHG33;CONDELL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3019;SKHG37;CONDELL;FULL;;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3020;SKHG39;CONDELL;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3021;SKHG40;CONDELL;;;;;;FULL;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3022;SKHG42;CONDELL;FULL;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3023;SKHG47;CONDELL;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3024;SKHG55;CONDELL;;;;;;;;BARRIDO/MOPA;;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3025;SKHG57;CONDELL;;;;;;;;;;;;FULL;BARRIDO/MOPA;;BARRIDO/MOPA;;;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3026;SKHG59;CONDELL;;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3027;SKHG62;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3028;SKHG65;CONDELL;;;;;;FULL;;;;;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3029;SKHG69;CONDELL;;;;;;;;BARRIDO/MOPA;;;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3030;SKHG70;CONDELL;;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;FULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3031;SKHG73;CONDELL;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3032;SKHG74;CONDELL;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3033;SKHG79;CONDELL;;;;;;;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3034;SKHG80;CONDELL;;;;;;;FULL;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3035;SKHG82;CONDELL;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3036;SKHG85;CONDELL;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3037;SKHG89;CONDELL;;;;;;;FULL;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3038;SKHG90;CONDELL;;;;;;;;;BARRIDO/MOPA;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3039;SKHG92;CONDELL;;;;;;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3040;SKHG93;CONDELL;;;;;;;;FULL;;;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3041;SKHG95;CONDELL;;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3042;SPZX34;CONDELL;;;;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3043;SPZX36;CONDELL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3044;SPZX39;CONDELL;;;;;;FULL;;;;;BARRIDO/MOPA;FULL;BARRIDO;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3045;SPZX41;CONDELL;;;;;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3046;SPZX42;CONDELL;;;;;;;;;;;;;BARRIDO;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3047;SPZX46;CONDELL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3048;SPZX51;CONDELL;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;FULL;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3049;SPZX55;CONDELL;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3050;SPZX56;CONDELL;;;;;;;FULL;;;;;;;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3051;SPZX58;CONDELL;;;;;;;FULL;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3059;STHB50;CONDELL;;;;;;;;FULL;BARRIDO/MOPA;;;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3065;STHD21;CONDELL;;;;;;;;;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3066;STHD35;CONDELL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3067;STHD47;CONDELL;;;;;;;FULL;;BARRIDO/MOPA;;BARRIDO/MOPA;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3068;STHD54;CONDELL;;;;;;;;;;;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3069;STHD65;CONDELL;;;;;;;;;;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3070;STHD72;CONDELL;;;;;;;;;;;BARRIDO/MOPA;;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3071;STHF13;CONDELL;;;;;;FULL;;;;;;;;FULL;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3072;STHF15;CONDELL;;;;;;BARRIDO/MOPA;;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3074;STHF35;CONDELL;;;;;;;FULL;;;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3075;STHF42;CONDELL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3076;STHF45;CONDELL;;;;;;;;;;BARRIDO/MOPA;;;;;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3077;STHF49;CONDELL;;;;;;BARRIDO/MOPA;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3079;STHF62;CONDELL;;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3081;STHF76;CONDELL;;;;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4000;LDJX67;CONDELL;;;;;;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4001;LDSW88;CONDELL;;;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4002;LDSX94;CONDELL;;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;FULL;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4003;LDSX95;CONDELL;;;;;;;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4004;LDSX96;CONDELL;;;;;;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4005;LDTG63;CONDELL;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4006;LDTG64;CONDELL;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4007;LDTG65;CONDELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4008;LDTG66;CONDELL;;;;;;;BARRIDO/MOPA;;;;;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4009;LDTG67;CONDELL;;;;;;;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4010;LFGJ89;CONDELL;;;;;;;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4011;LFGJ90;CONDELL;;;;;;;BARRIDO/MOPA;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;;;BARRIDO/MOPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
